name;Owner;normal_prod;capacity;aggregates;turbine_type;station;height;Vattenf;mean_runoff;magasin;river;location;community;region;Lat;Long
Kilforsen;Vattenfall Ångermanälven AB;970000;288000;3;Francis;Underjordsanläggning;99;350;131;;Fjällsjöälven;Näsåker;Sollefteå kommun;Västernorrlands län;63.54153;16.76265
Harrsele;Statkraft Sverige AB/Holmen Energi AB;950000;223000;3;Francis;Underjordsanläggning;54.5;450;237;;Umeälven;Harrsele;Vännäs kommun;Västerbottens län;64.01862;19.56166
Ramsele;E.ON Vattenkraft Sverige AB;869000;157000;3;Francis;Underjordsanläggning;79.2;240;155;;Faxälven;Nässjö;Sollefteå kommun;Västernorrlands län;63.58352;16.33112
Laxede;Vattenfall Vattenkraft AB;855000;200000;3;Kaplan;Ovanjordsanläggning;25.4;980;470;;Luleälven;Edefors;Bodens kommun;Norrbottens län;66.22394;20.86118
Stadsforsen;Vattenfall Vattenkraft AB;841288;132550;3;Kaplan;Ovanjordsanläggning;28.5;580;433;;Indalsälven;Bispgården;Ragunda kommun;Jämtlands län;62.97895;16.65777
Seitevare;Vattenfall Vattenkraft AB;787000;225000;1;Francis;Underjordsanläggning;180;135;58;1650;Luleälven;Tjåmotis;Jokkmokks kommun;Norrbottens län;66.97728;18.58330
Bergeforsen;Bergeforsens Kraft AB;735000;168000;4;Kaplan;Ovanjordsanläggning;23;840;444;;Indalsälven;Timrå;Timrås kommun;Västernorrlands län;62.52085;17.38630
Forsmo;Vattenfall AB och Statkraft Sverige AB;730000;160000;4;Kaplan;Underjordsanläggning;34;600;320;;Ångermanälven;Sollefteå;Sollefteå kommun;Västernorrlands län;63.27114;17.20023
Midskog;Vattenfall Vattenkraft AB;725000;150000;3;Kaplan;Ovanjordsanläggning;27;640;373;53;Indalsälven;Midskog;Ragunda kommun;Jämtlands län;63.23974;15.23656
Hölleforsen;Vattenfall Vattenkraft AB;720000;148000;3;Kaplan;Ovanjordsanläggning;25;720;430;;Indalsälven;Utanede;Ragunda kommun;Jämtlands län;62.95081;16.66838
Gallejaur;Vattenfall Skellefteälven AB;705000;219000;2;Francis;Underjordsanläggning;80;;;;Skellefteälven;Högberg;Norsjö kommun;Västerbottens län;65.12714;19.46665
Trängslet;Fortum Generation AB;680000;330000;3;Francis;Underjordsanläggning;142;275;65;880;Dalälven;Åsen;Älvdalens kommun;Dalarnas län;61.38124;13.72358
Moforsen;E.ON Vattenkraft Sverige AB;641000;135000;3;Kaplan;Ovanjordsanläggning;28.1;600;320;;Ångermanälven;Resele;Sollefteå kommun;Västernorrlands län;63.36794;16.98724
Nämforsen;Vattenfall Ångermanälven AB;604151;114600;3;Kaplan;Nedgrävd anläggning;22;600;320;;Ångermanälven;Näsåker;Sollefteå kommun;Västernorrlands län;63.44011;16.88076
Akkats;Vattenfall Vattenkraft AB;591000;150000;2;Kaplan;Underjordsanläggning;46;450;176;42;Luleälven;Jokkmokk;Jokkmokks kommun;Norrbottens län;66.63151;19.81996
Bastusel;Vattenfall Skellefteälven AB;557473;120000;1;Francis;Underjordsanläggning;71;170;110.7;;Skellefteälven;Malå;Malå kommun;Västerbottens län;65.40503;18.67153
Hammarforsen;Statkraft Sverige Vattendel 3 AB;549276;79000;5;2 Francis, 3 Kaplan;Ovanjordsanläggning;19.5;485;424;;Indalsälven;Ragunda;Ragunda kommun;Jämtlands län;63.11413;16.35622
Stalon;Vattenfall Ångermanälven AB;548068;130200;1;Francis;Underjordsanläggning;199;65;38;665;Ångermanälven;Malgomaj;Vilhelminas kommun;Västerbottens län;64.94545;15.82789
Storfinnforsen;E.ON Vattenkraft Sverige AB;536000;132000;3;Francis;Underjordsanläggning;49.5;270;151;;Faxälven;Ramsele;Sollefteå kommun;Västernorrlands län;63.59839;16.12468
Höljes;Fortum Generation AB;530000;127000;2;Francis;Underjordsanläggning;88;167;94;270;Klarälven;Höljes;Torsby kommun;Värmlands län;60.95100;12.54343
Krokströmmen;Fortum Generation AB;522000;113000;3;2 Francis, 1 Kaplan;Underjordsanläggning;60;200;130;;Ljusnan;Ytterhogdal;Härjedalens kommun;Jämtlands län;62.04126;14.89985
Gammelänge;Fortum Generation AB;515000;69000;3;Kaplan;Ovanjordsanläggning;19;500;383;;Indalsälven;Hammarstrand;Ragunda kommun;Jämtlands län;63.14247;16.16082
Älvkarleby;Vattenfall Vattenkraft AB;510000;125000;6;5 Francis, 1 Kaplan;Ovanjordsanläggning;23;700;342;;Dalälven;Älvkarleby;Älvkarleby kommun;Uppsala län;60.56368;17.44205
Kvistforsen;Statkraft Sverige AB;500000;140000;2;Kaplan;Underjordsanläggning;51;;160;;Skellefteälven;Skellefteå;Skellefteå kommun;Västerbottens län;64.74468;20.86256
Bålforsen;E.ON Vattenkraft Sverige AB;495000;88000;2;Kaplan;Underjordsanläggning;31.1;305;217;;Umeälven;Lycksele;Lycksele kommun;Västerbottens län;64.65341;18.48462
Grundfors;Vattenfall Umeälven AB;492002;103500;2;Kaplan;Underjordsanläggning;35.3;330;192;;Umeälven;Storuman;Storumans kommun;Västerbottens län;64.96205;17.57875
Ritsem;Vattenfall Vattenkraft AB;491023;304000;1;Francis;Underjordsanläggning;173;240;40;600;Luleälven;Ritsem;Gällivare kommun;Norrbottens län;67.72921;17.48511
Boden;Vattenfall Vattenkraft AB;455000;78000;2;Kaplan;Ovanjordsanläggning;13;720;514;;Luleälven;Boden;Bodens kommun;Norrbottens län;65.80888;21.67136
Vargfors;Vattenfall Skellefteälven AB;452162;122100;2;1 Kaplan, 1 Francis;Underjordsanläggning;49;;;;Skellefteälven;Bjurträsk;Norsjö kommun;Västerbottens län;65.02145;19.68668
Järkvissle;Vattenfall Indalsälven AB;451369;96500;2;Kaplan;Ovanjordsanläggning;14;720;437;;Indalsälven;Järkvissle;Sundsvalls kommun;Västernorrlands län;62.79714;16.66350
Tuggen;Vattenfall AB, Holmen Energi AB;441000;110000;2;Kaplan;Ovanjordsanläggning;27.5;480;227;;Umeälven;Lycksele;Lycksele kommun;Västerbottens län;64.47282;18.87829
Långbjörn;Vattenfall Ångermanälven AB;430669;96900;2;Kaplan;Ovanjordsanläggning;34;330;181;;Ångermanälven;Näsåker;Sollefteå kommun;Västernorrlands län;63.63652;16.77613
Svarthålsforsen;Fortum Generation AB;430000;80000;3;Kaplan;Ovanjordsanläggning;15;525;430;0;Indalsälven;Bispgården;Ragunda kommun;Jämtlands län;63.02853;16.57131
Korsselbränna;Statkraft Sverige AB;428000;130000;2;Francis;Underjordsanläggning;112;120;54;291;Fjällsjöälven;Norråker;Strömsunds kommun;Jämtlands län;64.45855;15.54007
Järnvägsforsen;Statkraft Sverige AB;420000;100000;2;Francis;Underjordsanläggning;86.8;145;68;192;Ljungan;Alby;Ånge kommun;Västernorrlands län;62.48846;15.55735
Järpströmmen;Fortum Generation AB;415000;114000;3;Francis;Underjordsanläggning;66;220;88;502;Indalsälven;Järpbyn;Åre kommun;Jämtlands län;63.39022;13.38425
Umluspen;Vattenfall Vattenkraft AB;401000;94000;2;Kaplan;Underjordsanläggning;35;340;180;1100;Umeälven;Storuman;Storumans kommun;Västerbottens län;65.09453;17.09968
Långå;Fortum Generation AB;400000;156000;2;Francis;Underjordsanläggning;217;110;37;784;Ljusnan;Hede;Härjedalens kommun;Jämtlands län;62.46369;13.08091
Sällsjö;Skellefteå Kraftaktiebolag;350000;160000;2;Francis;Underjordsanläggning;194;110;24;700;Indalsälven;Sällsjön;Åre kommun;Jämtlands län;63.22401;13.67617
Torpshammar;Vattenfall Vattenkraft AB;350000;110000;2;Francis;Underjordsanläggning;123;110;39;;Gimån;Torpshammar;Ånge kommun;Västernorrlands län;62.50868;16.37935
Näverede;Vattenfall Indalsälven AB;348833;75600;2;Kaplan;Ovanjordsanläggning;13;660;374;;Indalsälven;Stugun;Ragunda kommun;Jämtlands län;63.22257;15.32281
Bjurfors Nedre;Statkraft Sverige AB;348000;78000;3;Kaplan;Ovanjordsanläggning;20;450;232;;Umeälven;Bjurfors;Vindelns kommun;Västerbottens län;64.10308;19.56946
Dönje;Fortum Generation AB;340000;72000;3;Kaplan;Underjordsanläggning;33.4;240;180;;Ljusnan;Bollnäs;Bollnäs kommun;Gävleborgs län;61.39656;16.40417
Olden;Statkraft Sverige AB;340000;116000;2;Francis;Underjordsanläggning;261;65;20.3;178;Långan;Olden;Krokoms kommun;Jämtlands län;63.74985;13.54035
Hällby;E.ON Vattenkraft Sverige AB;340000;84000;1;Kaplan;Ovanjordsanläggning;29;325;169;;Ångermanälven;Gulsele;Sollefteå kommun;Västernorrlands län;63.88423;17.19474
Laforsen;Fortum Generation AB;330000;57000;3;2 Francis, 1 Kaplan;Ovanjordsanläggning;35;190;149;;Ljusnan;Laforsen;Ljusdals kommun;Gävleborgs län;61.94384;15.49787
Edsele;E.ON Vattenkraft Sverige AB;328000;60000;2;Kaplan;Underjordsanläggning;28;240;157;;Faxälven;Edsele;Sollefteå kommun;Västernorrlands län;63.40456;16.55755
Gulsele;E.ON Vattenkraft Sverige AB;327987;66200;3;Kaplan;Underjordsanläggning;29;275;172;;Ångermanälven;Gulsele;Sollefteå kommun;Västernorrlands län;63.81490;17.12370
Edensforsen;E.ON Vattenkraft Sverige AB;321557;71350;2;Kaplan;Underjordsanläggning;28;280;175;;Ångermanälven;Junsele;Sollefteå kommun;Västernorrlands län;63.68359;17.00826
Hissmofors V/VI;Jämtkraft AB;320000;68000;3;Kaplan;Ovanjordsanläggning;18;440;237;1254;Indalsälven;Hissmofors;Krokoms kommun;Jämtlands län;63.33212;14.46795
Krångfors;Skellefteå Kraftaktiebolag;320000;65000;3;2 Francis, 1 Kaplan;Ovanjordsanläggning;29.9;240;;;Skellefteälven;Boliden;Skellefteå kommun;Västerbottens län;64.75505;20.48948
Degerforsen;E.ON Vattenkraft Sverige AB;295000;63000;2;Kaplan;Ovanjordsanläggning;24;300;174;;Ångermanälven;Junsele;Sollefteå kommun;Västernorrlands län;63.74223;17.02633
Sollefteå;Sollefteåforsens AB;295000;62000;3;Kaplan;Ovanjordsanläggning;9.2;790;490;;Ångermanälven;Sollefteå;Sollefteå kommun;Västernorrlands län;63.17148;17.26396
Båtfors;Skellefteå Kraftaktiebolag;294194;72900;3;Kaplan;Ovanjordsanläggning;16.9;326;;;Skellefteälven;Boliden;Skellefteå kommun;Västerbottens län;64.83197;20.22507
Gardikfors;Vattenfall Vattenkraft AB;287000;60000;1;Kaplan;Underjordsanläggning;43;170;121;871;Umeälven;Tärnaby;Storumans kommun;Västerbottens län;65.47697;15.85652
Ajaure;Vattenfall Vattenkraft AB;280000;75000;1;Diagonalturbin/deriazturbin;Underjordsanläggning;55;170;95;209;Umeälven;Tärnaby;Storuman kommun;Västerbottens län;65.50835;15.62386
Kattstrupeforsen;Jämtkraft AB;280000;56000;3;Kaplan;Ovanjordsanläggning;18;420;238;;Indalsälven;Krokom;Krokoms kommun;Jämtlands län;63.32658;14.58160
Norränge;Fortum Generation AB och Voxnan Kraft AB;280000;50000;2;Kaplan;Underjordsanläggning;21.5;240;177;40;Ljusnan;Arbrå;Bollnäs kommun;Gävleborgs län;61.47744;16.38864
Långhag;Fortum Generation AB;275000;49000;2;Kaplan;Ovanjordsanläggning;13;480;317;117;Dalälven;Solvarbo;Säters kommun;Dalarnas län;60.39640;15.71401
Ljunga;Fortum Generation AB;270000;59000;2;Francis;Underjordsanläggning;53;145;76;;Ljungan;Ljungaverk;Ånge kommun;Västernorrlands län;62.50166;16.01839
Gejmån;Vattenfall Umeälven AB;265000;65700;1;Francis;Ovanjordsanläggning;250.5;29;13.8;9;Umeälven;Storuman;Storumans kommun;Västerbottens län;65.57209;15.18169
Selsforsen;Skellefteå Kraftaktiebolag;260000;62000;2;Kaplan;Nedgrävd anläggning;22.2;300;;;Skellefteälven;Skellefteå;Skellefteå kommun;Västerbottens län;64.74146;20.63252
Stensele;Vattenfall Umeälven AB;259704;64000;1;Kaplan;Ovanjordsanläggning;19.3;310;188;;Umeälven;Storuman;Storumans kommun;Västerbottens län;65.05475;17.23223
Trångforsen;E.ON Vattenkraft Sverige AB;258000;73000;1;Francis;Underjordsanläggning;81;115;42;20;Ljungan;Åsarna;Bergs kommun;Jämtlands län;62.60869;14.30718
Långströmmen;Fortum Generation AB;255000;52000;2;Kaplan;Underjordsanläggning;31;180;131;;Ljusnan;Ytterhogdal;Härjedalens kommun;Jämtlands län;62.11126;15.00389
Untra;Fortum Generation AB;250000;42000;5;Francis;Ovanjordsanläggning;14;420;339;;Dalälven;Mehedeby;Tierps kommun;Uppsala län;60.43903;17.33901
Ljusne Strömmar;Ljusnans Kraft AB;245000;36400;2;Kaplan;Ovanjordsanläggning;16;240;233;;Ljusnan;Ljusne;Söderhamns kommun;Gävleborgs län;61.21242;17.08181
Finnforsen;Skellefteå Kraftaktiebolag;240000;44000;2;2 st Kaplan;Ovanjordsanläggning;20.7;300;174;;Skellefteälven;Boliden;Skellefteå kommun;Västerbottens län;64.79176;20.33505
Pengfors;Vattenfall Vattenkraft AB;240000;52000;3;Kaplan;Ovanjordsanläggning;15.5;450;237;;Umeälven;Vännäs;Vännäs kommun;Västerbottens län;63.93020;19.66208
Rätan;E.ON Vattenkraft Sverige AB;238000;60000;2;Francis;Underjordsanläggning;61;125;51;;Ljungan;Rätan;Bergs kommun;Jämtlands län;62.48925;14.62541
Skedvi;Fortum Generation AB;235000;38000;2;Kaplan;Ovanjordsanläggning;11;440;320;;Dalälven;Stora Skedvi;Säters kommun;Dalarnas län;60.39440;15.84415
Stenkullafors;Vattenfall Vattenkraft AB;235000;58000;1;Kaplan;Ovanjordsanläggning;24;285;141;;Ångermanälven;Åsele;Åsele kommun;Västerbottens län;64.28757;17.24534
Bullerforsen;Fortum Generation AB;229000;47000;2;Kaplan;Ovanjordsanläggning;12.2;500;276;;Dalälven;Borlänge;Borlänge kommun;Dalarnas län;60.50910;15.43808
Randi;Vattenfall Vattenkraft AB;226680;85000;1;Kaplan;Ovanjordsanläggning;25;485;128;98;Luleälven;Klubbudden;Jokkmokks kommun;Norrbottens län;66.70907;19.53330
Lanforsen;Fortum Generation AB;215000;44000;4;Kaplan;Ovanjordsanläggning;10;620;342;;Dalälven;Älvkarleö;Älvkarleby kommun;Uppsala län;60.53081;17.41603
Forsse;E.ON Vattenkraft Sverige AB;210000;52000;2;Kaplan;Ovanjordsanläggning;20;300;166;;Faxälven;Långsele;Sollefteå kommun;Västernorrlands län;63.15432;17.02055
Lilla Edet;Vattenfall Vattenkraft AB;210000;43000;4;1 Kaplan, 1 Semikaplan, 1 Lawaczeck, 1 Rörkaplan;1 Turbin underjord, resten ovan jord;7.3;842;;;Göta älv;Lilla Edet;Lilla Edets kommun;Västra Götalands län;58.13714;12.12082
Forshuvudforsen;Fortum Generation AB;209000;44000;4;1 Francis, 3 Kaplan;Ovanjordsanläggning;10.7;500;276;;Dalälven;Borlänge;Borlänge kommun;Dalarnas län;60.53577;15.42348
Mörsil;Fortum Generation AB;205000;40000;2;Kaplan;Ovanjordsanläggning;18;320;158;;Indalsälven;Mörsil;Åre kommun;Jämtlands län;63.29700;13.68849
Stensjön;Fortum Generation AB;204000;95000;1;Francis;Underjordsanläggning;318;36;8.5;173;Hårkan;Rörvattnet;Krokoms kommun;Jämtlands län;63.97457;13.88128
Mockfjärd;Fortum Generation AB;204000;43000;2;Francis;Underjordsanläggning;27;190;122;;Dalälven;Mockfjärd;Gagnef kommun;Dalarnas län;60.48355;14.89783
Blåsjön;Blåsjön Kraft AB;201000;60000;1;Francis;Underjordsanläggning;90;80;33;490;Faxälven;Gäddede;Strömsunds kommun;Jämtlands län;64.67703;14.09442
Linnvasselv;Brännälven Kraft AB;200000;73000;2;Francis;Underjordsanläggning;108;52.5;25;560;Faxälven;Gäddede;Strömsunds kommun;Jämtlands län;64.64831;13.76117
Rengård;Skellefteå Kraftaktiebolag;200000;35000;1;Kaplan;Ovanjordsanläggning;19.3;220;;;Skellefteälven;Rengård;Norsjö kommun;Västerbottens län;64.93176;20.02204
Granfors;Skellefteå Kraftaktiebolag;195000;40000;2;Kaplan;Ovanjordsanläggning;18.6;240;;;Skellefteälven;Boliden;Skellefteå kommun;Västerbottens län;64.77948;20.41557
Höljebro gamla (G3);Fortum Generation AB;195000;39000;1;Kaplan;Ovanjordsanläggning;15;300;233;26;Ljusnan;Höljebro;Söderhamns kommun;Gävleborgs län;61.23743;17.01283
Skallböle;Statkraft Sverige AB;195000;46000;3;Kaplan;Ovanjordsanläggning;21.5;265;132;;Ljungan;Matfors;Sundsvalls kommun;Västernorrlands län;62.36402;16.96225
Bjurfors Övre;Statkraft Sverige AB;194000;42000;3;Kaplan;Ovanjordsanläggning;11.5;450;232;;Umeälven;Bjurfors;Vindelns kommun;Västerbottens län;64.15567;19.50367
Grytfors;Skellefteå Kraftaktiebolag;189000;37000;1;Kaplan;Ovanjordsanläggning;22.4;165;;;Skellefteälven;Malå;Malå kommun;Västerbottens län;65.28506;19.16870
Sikfors;Skellefteå Kraftaktiebolag;185000;40000;2;Kaplan;Ovanjordsanläggning;19.5;250;;0;Piteälven;Sikfors;Piteå kommun;Norrbottens län;65.53437;21.21328
Rusfors;Vattenfall Vattenkraft AB;184000;45000;1;Kaplan;Ovanjordsanläggning;12.3;450;216;75;Umeälven;Umgransele;Lycksele kommun;Västerbottens län;64.71402;18.25514
Stugun;Vattenfall Indalsälven AB;181000;41000;2;Kaplan;Ovanjordsanläggning;7.3;640;377;;Indalsälven;Stugun;Ragunda kommun;Jämtlands län;63.16397;15.62148
Vittjärv;Vattenfall Vattenkraft AB;175000;30000;3;Rörturbin;Ovanjordsanläggning;6;690;475;;Luleälven;Boden;Bodens kommun;Norrbottens län;65.84538;21.55406
Avesta Storfors;Fortum Generation AB;170000;24000;1;Kaplan;Ovanjordsanläggning;9.4;500;325;;Dalälven;Avesta;Avesta kommun;Dalarnas län;60.15079;16.16933
Parteboda;Fortum Generation AB;170000;35000;2;Francis;Underjordsanläggning;34;140;72;;Ljungan;Ånge;Ånge kommun;Västernorrlands län;62.51824;15.69020
Vargön;Vattenfall Vattenkraft AB;165000;34000;3;2 Kaplan, 1 Rörkaplan;Ovanjordsanläggning;5.2;1000;520;9400;Göta älv;Vargön;Vänersborgs kommun;Västra Götalands län;58.35592;12.37480
Spjutmo;Spjutmo Kraft AB;165000;35000;1;Kaplan;Ovanjordsanläggning;22;210;91;;Dalälven;Spjutmo;Mora kommun;Dalarnas län;61.08361;14.32286
Öjeforsen;Fortum Generation AB;160000;27000;1;Kaplan;Ovanjordsanläggning;16;190;143;;Ljusnan;Kårböle;Ljusdals kommun;Gävleborgs län;62.02178;15.25759
Sveg;Fortum Generation AB och Holmen Kraft AB;155000;36000;1;Kaplan;Ovanjordsanläggning;19;200;120;237;Ljusnan;Sveg;Härjedalens kommun;Jämtlands län;62.02659;14.28703
Storåströmmen;Fortum Generation AB;150000;25000;2;Kaplan;Ovanjordsanläggning;17;180;142;;Ljusnan;Ytterhogdal;Härjedalens kommun;Jämtlands län;62.07881;15.10943
Betsele;E.ON Vattenkraft Sverige AB;145000;25000;2;Kaplan;Ovanjordsanläggning;9.5;320;217;;Umeälven;Lycksele;Lycksele kommun;Västerbottens län;64.63047;18.62715
Riebnes;Skellefteå Kraftaktiebolag;142000;64000;1;Francis;Underjordsanläggning;88;;;;Skellefteälven;Ringselet;Arjeplogs kommun;Norrbottens län;66.40194;17.33068
Lövön;E.ON Vattenkraft Sverige AB;140000;36000;2;Rörturbin;Ovanjordsanläggning;14;300;142;495;Faxälven;Vågdalen;Strömsunds kommun;Jämtlands län;63.74784;15.69665
Munkfors;Fortum Generation AB;140000;33000;2;Kaplan;Ovanjordsanläggning;17;;;;Klarälven;Munkfors;Munkfors kommun;Värmlands län;59.84695;13.53928
Åsen;Fortum Generation AB;140000;24000;1;Kaplan;Nedgrävd anläggning;27;130;68;;Dalälven;Åsen;Älvdalens kommun;Dalarnas län;61.28256;13.76062
Hällforsen;E.ON Vattenkraft Sverige AB;130000;22000;2;Kaplan;Ovanjordsanläggning;7.8;320;223;;Umeälven;Lycksele;Lycksele kommun;Västerbottens län;64.58500;18.68992
Karsefors;Statkraft Sverige AB;129000;31400;2;Francis;Ovanjordsanläggning;25.6;155;;;Lagan;Laholm;Laholms kommun;Hallands län;56.49907;13.10821
Borgforsen;E.ON Vattenkraft Sverige AB;126000;26000;2;Kaplan;Ovanjordsanläggning;15.4;210;116;;Fjällsjöälven;Rossön;Strömsunds kommun;Jämtlands län;63.95485;16.37157
Avesta Lillfors;Fortum Generation AB;125000;22000;2;Rörturbin;Ovanjordsanläggning;5;500;325;;Dalälven;Avesta;Avesta kommun;Dalarnas län;60.14802;16.18649
Gråda;Fortum Generation AB;125000;24000;2;Kaplan;Ovanjordsanläggning;12;270;154;658;Dalälven;Djura;Leksands kommun;Dalarnas län;60.60390;15.01540
Granboforsen;Jämtkraft AB;120000;24000;2;Rörturbin;Ovanjordsanläggning;6;450;238;;Indalsälven;Lit;Östersunds kommun;Jämtlands län;63.30543;14.70375
Näs;Vattenfall Vattenkraft AB;120000;19000;2;Rörturbin;Ovanjordsanläggning;5;480;328;;Dalälven;Näs bruk;Avesta kommun;Dalarnas län;60.17366;16.47684
Sädva;Skellefteå Kraftaktiebolag;119000;31000;1;Francis;Underjordsanläggning;51;70;34;600;Skellefteälven;Ringselet;Arjeplogs kommun;Norrbottens län;66.42404;16.84215
Åsele;Vattenfall Vattenkraft AB;116000;27000;1;Rörturbin;Ovanjordsanläggning;11;300;157;4;Ångermanälven;Åsele;Åsele kommun;Västerbottens län;64.10091;17.29208
Junsterforsen;Holmen AB;115000;30000;1;Kaplan;Underjordsanläggning;34;120;45;160;Faxälven;Gäddede;Strömsunds kommun;Jämtlands län;64.56201;14.13417
Holmen;Holmen Kraft AB;112000;29000;1;Kaplan;Underjordsanläggning;18;;;;Motala Ström;Norrköping;Norrköpings kommun;Östergötlands län;58.58895;16.17280
Alfta;Voxnan Kraft AB;110000;32400;2;Francis;Underjordsanläggning;61.2;63;33;;Voxnan;Alfta;Ovanåkers kommun;Gävleborgs län;61.34616;16.00307
Forshult;Fortum Generation AB;110000;24000;3;Kaplan;Ovanjordsanläggning;12;;;;Klarälven;Råda;Hagfors kommun;Värmlands län;59.95631;13.52572
Kvarnsveden;Fortum Generation AB;110000;61000;2;Kaplan;Ovanjordsanläggning;14;500;276;;Dalälven;Borlänge;Borlänge kommun;Dalarnas län;60.52428;15.42507
Höljebro (G4);Fortum Generation AB;110000;24000;1;Kaplan;Ovanjordsanläggning;15;300;233;26;Ljusnan;Höljebro;Söderhamns kommun;Gävleborgs län;61.23625;17.01098
Skymnäsforsen;Fortum Generation AB;110000;15600;2;Kaplan;Ovanjordsanläggning;12;;;;Klarälven;Skymnäs;Hagfors kommun;Värmlands län;59.94487;13.53169
Bergvik;Ljusnans Kraft AB;107000;16200;2;Kaplan;Ovanjordsanläggning;8.3;240;231;50;Ljusnan;Bergvik;Söderhamns kommun;Gävleborgs län;61.25897;16.83156
Domnarvet;Fortum Generation AB;100000;22000;2;Kaplan;Ovanjordsanläggning;7;400;276;;Dalälven;Borlänge;Borlänge kommun;Dalarnas län;60.49555;15.45461
Hylte;Statkraft Sverige AB;100000;26000;2;Kaplan;Underjordsanläggning;63;;;;Nissan;Hyltebruk;Hylte kommun;Hallands län;56.97726;13.16447
Klippen;Skellefteå Kraftaktiebolag;100000;27000;1;Francis;Underjordsanläggning;65;50;23;357;Umeälven;Tärnaby;Storumans kommun;Västerbottens län;65.88915;14.99068
Ljusnefors;Ljusnans Kraft AB;100000;14500;1;Rörturbin;Ovanjordsanläggning;7.1;300;233;;Ljusnan;Ljusne;Söderhamns kommun;Gävleborgs län;61.20618;17.12108
Söderfors;Vattenfall Vattenkraft AB;100000;20000;2;Rörturbin;Ovanjordsanläggning;5;500;338;;Dalälven;Söderfors;Tierps kommun;Uppsala län;60.38195;17.24167
Tåsan;Tåsan Kraft AB;100000;40000;1;Francis;Underjordsanläggning;269;;;9;Klarälven;Sysslebäck;Torsby kommun;Värmlands län;60.76666;12.84428
Dabbsjö;Statkraft Sverige AB;97000;26000;1;Francis;Underjordsanläggning;50;74;31;337;Fjällsjöälven;Rajastrand;Dorotea kommun;Västerbottens län;64.65148;15.34205
Gullspång;Fortum Generation AB;95000;40000;2;1 Francis, 1 Kaplan;Underjordsanläggning;23;;;;Gullspångsälven;Gullspång;Gullspångs kommun;Västra Götalands län;58.98735;14.11073
Bergvattnet;Statkraft Sverige AB;93000;21000;1;Francis;Underjordsanläggning;76;34;16.7;284;Fjällsjöälven;Norråker;Strömsunds kommun;Jämtlands län;64.54270;15.27221
Matfors;Statkraft Sverige AB;93000;21000;1;Rörturbin;Ovanjordsanläggning;10.1;250;134;;Ljungan;Matfors;Sundsvalls kommun;Västernorrlands län;62.34829;17.02654
Deje;Fortum Generation AB;90000;20000;7;Francis;Ovanjordsanläggning;11;;;;Klarälven;Deje;Forshaga kommun;Värmlands län;59.60712;13.47581
Juktan;Vattenfall Vattenkraft AB;90000;26000;1;Reversibelt;Underjordsanläggning;85;50;26;575;Umeälven;Sorsele;Sorsele kommun;Västerbottens län;65.29065;17.22826
